TransactionAmount,TransactionDate,TransactionType,Location,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,PreviousTransactionDate,Age_Binned,Amount_Binned
425.34,284.0,1.0,18.0,2.0,69.0,2.0,121.0,1.0,3907.54,44.0,2,2
424.56,355.0,1.0,29.0,2.0,51.0,1.0,264.0,1.0,5183.85,360.0,0,2
85.43,1033.0,1.0,41.0,1.0,67.0,0.0,145.0,1.0,14904.9,22.0,2,3
169.5,1666.0,1.0,36.0,1.0,28.0,3.0,142.0,1.0,918.88,155.0,1,3
104.63,603.0,1.0,29.0,0.0,62.0,2.0,90.0,1.0,4477.78,258.0,2,3
316.95,1415.0,1.0,23.0,1.0,25.0,3.0,83.0,1.0,1324.03,172.0,1,2
60.54,2366.0,1.0,8.0,1.0,57.0,2.0,52.0,1.0,3534.93,214.0,0,1
292.56,446.0,1.0,9.0,1.0,68.0,2.0,61.0,1.0,4638.37,86.0,2,0
386.52,1054.0,1.0,16.0,1.0,48.0,1.0,28.0,1.0,5630.61,46.0,0,2
112.07,1833.0,1.0,18.0,1.0,23.0,3.0,51.0,1.0,930.3,313.0,1,3
568.52,1864.0,1.0,16.0,0.0,46.0,1.0,152.0,1.0,5499.91,360.0,0,2
263.99,885.0,1.0,9.0,1.0,79.0,2.0,227.0,1.0,4175.02,279.0,2,0
349.64,2091.0,1.0,19.0,2.0,48.0,1.0,226.0,1.0,6651.62,106.0,0,2
601.4,984.0,1.0,30.0,1.0,56.0,1.0,104.0,1.0,8458.29,98.0,0,2
5.77,2057.0,1.0,5.0,2.0,50.0,0.0,124.0,1.0,13988.12,308.0,0,1
201.33,602.0,1.0,26.0,1.0,42.0,1.0,186.0,1.0,2585.07,317.0,0,3
298.42,756.0,1.0,16.0,1.0,56.0,2.0,225.0,1.0,3014.75,229.0,0,0
521.06,721.0,1.0,0.0,1.0,25.0,3.0,128.0,1.0,1951.42,346.0,1,2
117.28,259.0,1.0,2.0,2.0,60.0,1.0,16.0,1.0,3665.77,48.0,0,3
189.12,2123.0,1.0,16.0,3.0,32.0,1.0,103.0,1.0,977.01,139.0,1,3
133.55,1300.0,1.0,1.0,0.0,44.0,1.0,220.0,1.0,3846.28,235.0,0,3
143.21,92.0,1.0,9.0,2.0,35.0,1.0,135.0,1.0,6374.82,183.0,1,3
24.77,1222.0,1.0,4.0,0.0,62.0,2.0,55.0,1.0,5866.01,351.0,2,1
233.92,1976.0,1.0,17.0,2.0,26.0,3.0,280.0,1.0,6537.62,142.0,1,0
211.36,1849.0,1.0,16.0,1.0,20.0,3.0,24.0,1.0,605.95,28.0,1,3
232.12,2461.0,1.0,43.0,0.0,37.0,1.0,51.0,1.0,6689.87,174.0,1,0
211.36,1075.0,1.0,18.0,2.0,22.0,3.0,113.0,1.0,634.17,119.0,1,3
91.53,499.0,1.0,25.0,1.0,44.0,0.0,69.0,1.0,14676.05,312.0,0,3
120.29,2391.0,1.0,24.0,1.0,19.0,3.0,77.0,1.0,1362.39,27.0,1,3
174.25,1298.0,1.0,39.0,2.0,50.0,0.0,67.0,1.0,10528.34,246.0,0,3
183.71,1125.0,1.0,10.0,0.0,38.0,1.0,102.0,1.0,552.52,208.0,1,3
345.39,2485.0,1.0,31.0,3.0,58.0,1.0,80.0,1.0,6451.96,113.0,0,2
211.36,145.0,1.0,11.0,0.0,63.0,2.0,87.0,1.0,4715.84,283.0,2,3
259.91,2076.0,1.0,10.0,2.0,49.0,0.0,170.0,1.0,7176.86,195.0,0,0
154.71,1204.0,1.0,36.0,2.0,34.0,0.0,157.0,1.0,1523.72,199.0,1,3
211.36,1825.0,1.0,2.0,2.0,54.0,1.0,30.0,1.0,8654.28,30.0,0,3
24.56,1977.0,1.0,23.0,1.0,64.0,0.0,69.0,1.0,9869.93,341.0,2,1
568.07,1585.0,1.0,42.0,0.0,48.0,0.0,115.0,1.0,10556.81,69.0,0,2
9.61,1149.0,1.0,36.0,2.0,58.0,0.0,179.0,1.0,12883.91,167.0,0,1
392.96,2166.0,1.0,18.0,2.0,24.0,3.0,100.0,1.0,791.65,135.0,1,2
211.36,1711.0,1.0,25.0,2.0,60.0,2.0,34.0,1.0,4064.02,109.0,0,3
223.85,1834.0,1.0,18.0,0.0,53.0,1.0,55.0,1.0,2929.91,98.0,0,0
230.66,592.0,1.0,15.0,1.0,21.0,3.0,135.0,1.0,618.05,260.0,1,0
442.12,2408.0,1.0,20.0,2.0,19.0,3.0,260.0,1.0,1375.8,118.0,1,2
644.17,430.0,1.0,35.0,0.0,29.0,1.0,72.0,1.0,1143.52,101.0,1,2
508.68,1160.0,1.0,23.0,1.0,51.0,1.0,127.0,1.0,7708.41,189.0,0,2
211.36,719.0,1.0,37.0,1.0,27.0,3.0,185.0,1.0,1872.96,263.0,1,3
25.36,1293.0,1.0,21.0,0.0,57.0,1.0,78.0,1.0,201.04,281.0,0,1
147.62,1622.0,1.0,5.0,1.0,71.0,2.0,133.0,1.0,2115.8,59.0,2,3
115.02,1680.0,1.0,35.0,1.0,37.0,0.0,175.0,1.0,7643.66,135.0,1,3
383.37,162.0,1.0,13.0,1.0,30.0,1.0,24.0,1.0,8901.93,283.0,1,2
98.54,1469.0,1.0,12.0,2.0,20.0,3.0,167.0,1.0,9383.43,219.0,1,3
83.24,1942.0,1.0,13.0,1.0,55.0,0.0,164.0,1.0,1181.31,268.0,0,3
196.16,377.0,1.0,41.0,1.0,27.0,1.0,146.0,1.0,9418.86,129.0,1,3
129.94,9.0,1.0,19.0,0.0,32.0,1.0,235.0,1.0,7954.92,12.0,1,3
306.9,2265.0,1.0,7.0,2.0,46.0,1.0,51.0,1.0,9418.08,264.0,0,0
114.98,2052.0,1.0,39.0,2.0,59.0,2.0,80.0,1.0,6144.68,181.0,0,3
211.36,457.0,1.0,34.0,1.0,27.0,3.0,17.0,1.0,420.65,316.0,1,3
503.76,2245.0,1.0,20.0,2.0,22.0,3.0,35.0,1.0,447.82,179.0,1,2
143.03,1384.0,1.0,35.0,0.0,63.0,2.0,147.0,1.0,7981.45,258.0,2,3
211.36,2195.0,1.0,8.0,0.0,53.0,2.0,73.0,1.0,1829.9,72.0,0,3
245.54,555.0,1.0,27.0,0.0,25.0,3.0,180.0,1.0,985.06,243.0,1,0
254.37,732.0,1.0,9.0,2.0,51.0,1.0,174.0,1.0,8849.26,33.0,0,0
213.76,429.0,1.0,9.0,0.0,78.0,2.0,282.0,1.0,3528.72,193.0,2,0
327.86,267.0,1.0,14.0,2.0,40.0,1.0,104.0,1.0,480.16,7.0,1,2
2.5,1320.0,1.0,36.0,2.0,47.0,0.0,107.0,1.0,12145.27,210.0,0,1
300.08,1875.0,1.0,2.0,2.0,68.0,0.0,47.0,1.0,13546.75,354.0,2,0
56.98,2478.0,1.0,28.0,0.0,43.0,1.0,122.0,1.0,5688.37,79.0,0,1
407.65,1236.0,1.0,4.0,2.0,26.0,1.0,62.0,1.0,8346.64,360.0,1,2
115.83,928.0,1.0,14.0,1.0,39.0,1.0,167.0,1.0,6481.04,219.0,1,3
53.57,1508.0,1.0,15.0,0.0,69.0,2.0,121.0,1.0,1651.33,140.0,2,1
63.34,2155.0,1.0,11.0,2.0,46.0,0.0,165.0,1.0,11174.94,230.0,0,1
317.87,2485.0,1.0,11.0,2.0,27.0,3.0,91.0,1.0,145.5,308.0,1,2
331.65,1568.0,1.0,32.0,2.0,41.0,1.0,61.0,1.0,4172.57,276.0,0,2
5.04,2231.0,1.0,42.0,0.0,56.0,2.0,41.0,1.0,5558.36,264.0,0,1
214.54,1414.0,1.0,11.0,2.0,70.0,0.0,247.0,1.0,11151.53,332.0,2,0
598.81,1633.0,1.0,30.0,1.0,57.0,0.0,158.0,1.0,1415.52,230.0,0,2
211.36,1452.0,1.0,40.0,2.0,26.0,3.0,80.0,1.0,1103.64,215.0,1,3
38.15,1661.0,1.0,23.0,2.0,26.0,3.0,108.0,1.0,303.68,79.0,1,1
211.36,1265.0,1.0,35.0,1.0,58.0,0.0,144.0,1.0,5541.57,181.0,0,3
124.72,1208.0,1.0,28.0,1.0,33.0,1.0,105.0,1.0,6309.8,62.0,1,3
302.45,1795.0,1.0,35.0,1.0,78.0,2.0,40.0,1.0,5133.61,331.0,2,0
208.04,2179.0,1.0,21.0,2.0,47.0,1.0,273.0,1.0,9344.98,142.0,0,3
5.77,2159.0,1.0,20.0,1.0,23.0,3.0,254.0,1.0,1117.97,269.0,1,1
381.33,1530.0,1.0,0.0,0.0,56.0,0.0,75.0,1.0,11835.35,189.0,0,2
16.16,1932.0,1.0,25.0,0.0,50.0,0.0,124.0,1.0,14401.17,335.0,0,1
486.08,1130.0,1.0,28.0,2.0,18.0,3.0,68.0,1.0,1748.69,40.0,3,2
336.39,101.0,1.0,35.0,1.0,21.0,3.0,18.0,1.0,1000.46,214.0,1,2
211.36,2193.0,1.0,39.0,2.0,69.0,0.0,118.0,1.0,6810.05,122.0,2,3
234.57,1617.0,1.0,6.0,2.0,23.0,3.0,120.0,1.0,263.98,144.0,1,0
6.0,1997.0,1.0,6.0,2.0,30.0,0.0,246.0,1.0,5442.76,200.0,1,1
211.36,1989.0,1.0,11.0,0.0,80.0,2.0,21.0,1.0,2037.85,251.0,2,3
227.14,1210.0,1.0,5.0,0.0,18.0,3.0,294.0,1.0,341.94,310.0,3,0
233.74,2002.0,1.0,28.0,2.0,66.0,2.0,17.0,1.0,1066.59,293.0,2,0
211.36,1790.0,1.0,17.0,1.0,69.0,2.0,166.0,1.0,6077.96,58.0,2,3
45.85,316.0,1.0,20.0,0.0,20.0,3.0,92.0,1.0,1659.15,61.0,1,1
211.36,1606.0,1.0,34.0,1.0,77.0,2.0,296.0,1.0,2042.22,320.0,2,3
211.36,694.0,1.0,27.0,2.0,41.0,0.0,142.0,1.0,421.93,218.0,0,3
415.5,1372.0,1.0,22.0,0.0,66.0,0.0,141.0,1.0,10113.66,240.0,2,2
265.76,240.0,1.0,30.0,2.0,54.0,2.0,92.0,1.0,4446.17,354.0,0,0
69.4,1344.0,1.0,41.0,2.0,80.0,2.0,113.0,1.0,6452.77,161.0,2,1
332.93,2170.0,1.0,0.0,1.0,35.0,1.0,293.0,1.0,2788.2,111.0,1,2
267.9,1874.0,1.0,35.0,2.0,20.0,3.0,160.0,1.0,596.16,131.0,1,0
496.03,2065.0,1.0,37.0,1.0,61.0,0.0,265.0,1.0,12904.66,198.0,2,2
376.26,308.0,1.0,40.0,0.0,37.0,1.0,245.0,1.0,9062.4,215.0,1,2
83.02,1641.0,1.0,39.0,2.0,36.0,1.0,171.0,1.0,9009.56,277.0,1,1
93.26,1364.0,1.0,27.0,2.0,20.0,3.0,72.0,1.0,1152.2,340.0,1,3
211.36,703.0,1.0,22.0,1.0,68.0,0.0,129.0,1.0,12168.37,137.0,2,3
35.76,1749.0,1.0,5.0,1.0,23.0,3.0,122.0,1.0,611.86,316.0,1,1
28.53,989.0,1.0,42.0,2.0,62.0,0.0,99.0,1.0,8670.53,7.0,2,1
139.53,1876.0,1.0,21.0,2.0,53.0,0.0,177.0,1.0,10098.86,68.0,0,3
307.57,52.0,1.0,11.0,1.0,33.0,0.0,285.0,1.0,5307.74,10.0,1,0
60.65,964.0,1.0,40.0,1.0,56.0,2.0,53.0,1.0,1047.28,179.0,0,1
74.86,1497.0,1.0,26.0,1.0,70.0,0.0,125.0,1.0,6921.48,76.0,2,1
211.36,2218.0,1.0,18.0,1.0,51.0,2.0,137.0,1.0,1475.46,178.0,0,3
231.91,204.0,1.0,22.0,0.0,34.0,1.0,165.0,1.0,112.76,351.0,1,0
126.21,297.0,1.0,3.0,1.0,75.0,2.0,268.0,1.0,5669.66,139.0,2,3
506.28,798.0,1.0,6.0,2.0,53.0,2.0,162.0,1.0,1309.95,166.0,0,2
304.35,2295.0,1.0,15.0,1.0,31.0,1.0,36.0,1.0,4057.1,142.0,1,0
281.85,890.0,1.0,11.0,0.0,22.0,3.0,109.0,1.0,1585.98,75.0,1,0
211.36,544.0,1.0,15.0,1.0,31.0,1.0,17.0,1.0,6825.55,172.0,1,3
119.18,1571.0,1.0,20.0,1.0,56.0,2.0,96.0,1.0,5516.5,71.0,0,3
177.19,876.0,1.0,6.0,2.0,76.0,2.0,43.0,1.0,5343.3,7.0,2,3
260.88,970.0,1.0,10.0,1.0,22.0,3.0,36.0,1.0,903.05,29.0,1,0
169.47,560.0,1.0,6.0,2.0,24.0,3.0,19.0,1.0,1806.16,74.0,1,3
73.23,905.0,1.0,32.0,1.0,26.0,3.0,14.0,1.0,787.74,288.0,1,1
211.36,270.0,1.0,12.0,0.0,29.0,1.0,106.0,1.0,2429.68,281.0,1,3
211.36,916.0,1.0,3.0,0.0,19.0,3.0,164.0,1.0,770.37,255.0,1,3
237.06,2381.0,1.0,31.0,2.0,71.0,2.0,46.0,1.0,1182.77,87.0,2,0
34.17,2189.0,1.0,30.0,2.0,54.0,1.0,54.0,1.0,726.55,6.0,0,1
211.36,1310.0,1.0,30.0,2.0,41.0,0.0,123.0,1.0,14464.3,124.0,0,3
453.54,723.0,1.0,0.0,0.0,58.0,0.0,82.0,1.0,12046.3,342.0,0,2
300.47,2116.0,1.0,17.0,1.0,73.0,2.0,100.0,1.0,7885.64,97.0,2,0
110.93,656.0,1.0,41.0,1.0,19.0,3.0,201.0,1.0,1952.35,269.0,1,3
201.69,22.0,1.0,19.0,0.0,59.0,0.0,299.0,1.0,7328.52,233.0,0,3
399.21,181.0,1.0,32.0,0.0,59.0,1.0,109.0,1.0,3210.39,118.0,0,2
211.36,1657.0,1.0,17.0,2.0,78.0,2.0,57.0,1.0,5726.2,21.0,2,3
630.36,434.0,1.0,23.0,0.0,62.0,2.0,52.0,1.0,1363.65,351.0,2,2
10.94,1993.0,1.0,30.0,0.0,60.0,1.0,245.0,1.0,1241.99,329.0,0,1
215.9,28.0,1.0,20.0,0.0,38.0,0.0,235.0,1.0,7873.28,240.0,1,0
211.36,1259.0,1.0,42.0,1.0,79.0,2.0,165.0,1.0,5674.32,27.0,2,3
226.37,1735.0,1.0,21.0,1.0,49.0,0.0,141.0,1.0,9840.04,213.0,0,0
444.89,1683.0,1.0,19.0,1.0,43.0,0.0,101.0,1.0,10328.23,326.0,0,2
280.57,174.0,1.0,41.0,2.0,25.0,3.0,24.0,1.0,293.24,241.0,1,0
488.54,1211.0,1.0,17.0,1.0,52.0,1.0,132.0,1.0,7486.63,63.0,0,2
3.3,577.0,1.0,20.0,1.0,50.0,0.0,131.0,1.0,11385.37,228.0,0,1
199.39,1526.0,1.0,7.0,1.0,69.0,2.0,165.0,1.0,7264.79,163.0,2,3
20.36,1338.0,1.0,40.0,1.0,62.0,2.0,75.0,1.0,2762.48,291.0,2,1
113.64,2005.0,1.0,11.0,2.0,45.0,2.0,32.0,1.0,6675.03,92.0,0,3
493.11,1380.0,1.0,7.0,1.0,53.0,2.0,236.0,1.0,7432.99,98.0,0,2
307.41,1073.0,1.0,20.0,0.0,19.0,3.0,14.0,1.0,1057.0,205.0,1,0
11.18,2267.0,1.0,1.0,2.0,43.0,0.0,161.0,1.0,5956.89,237.0,0,1
313.82,2147.0,1.0,40.0,1.0,59.0,1.0,151.0,1.0,7261.59,139.0,0,0
51.0,177.0,1.0,39.0,1.0,64.0,2.0,107.0,1.0,4943.16,120.0,2,1
140.98,954.0,1.0,22.0,1.0,60.0,1.0,100.0,1.0,8127.48,349.0,0,3
288.04,1558.0,1.0,10.0,0.0,68.0,2.0,63.0,1.0,1748.02,217.0,2,0
211.36,805.0,1.0,28.0,0.0,31.0,1.0,108.0,1.0,9660.22,26.0,1,3
485.54,238.0,1.0,15.0,0.0,46.0,1.0,143.0,1.0,6371.51,322.0,0,2
521.15,327.0,1.0,18.0,0.0,54.0,0.0,214.0,1.0,9442.47,68.0,0,2
321.79,1435.0,1.0,33.0,0.0,63.0,2.0,112.5,1.0,5959.2,218.0,2,2
304.93,375.0,1.0,32.0,0.0,65.0,0.0,158.0,1.0,13531.22,112.0,2,0
432.08,1377.0,1.0,12.0,0.0,40.0,0.0,145.0,1.0,11500.62,322.0,1,2
694.2,2320.0,1.0,25.0,0.0,61.0,2.0,72.0,1.0,1389.37,60.0,2,2
116.86,552.0,1.0,21.0,0.0,55.0,1.0,171.0,1.0,6706.56,351.0,0,3
211.36,448.0,1.0,11.0,3.0,57.0,0.0,149.0,1.0,7175.29,266.0,0,3
74.88,950.0,1.0,1.0,0.0,25.0,3.0,202.0,1.0,420.67,83.0,1,1
211.36,915.0,1.0,30.0,1.0,75.0,2.0,99.0,1.0,7323.53,205.0,2,3
134.7,1524.0,1.0,13.0,0.0,50.0,0.0,106.0,1.0,8395.85,283.0,0,3
211.36,1243.0,1.0,19.0,2.0,33.0,1.0,161.0,1.0,5140.93,69.0,1,3
361.27,41.0,1.0,29.0,0.0,63.0,0.0,180.0,1.0,7945.57,224.0,2,2
131.56,1968.0,1.0,5.0,1.0,44.0,0.0,42.0,1.0,5873.54,49.0,0,3
485.51,2251.0,1.0,25.0,2.0,76.0,2.0,37.0,1.0,3074.45,99.0,2,2
547.87,1256.0,1.0,8.0,0.0,64.0,2.0,131.0,1.0,6155.76,248.0,2,2
457.3,1172.0,1.0,41.0,2.0,28.0,1.0,15.0,1.0,8318.29,90.0,1,2
506.24,91.0,1.0,6.0,0.0,58.0,1.0,64.0,1.0,230.09,316.0,0,2
486.59,2395.0,1.0,16.0,1.0,57.0,2.0,119.0,1.0,2513.56,219.0,0,2
163.68,1817.0,1.0,36.0,1.0,41.0,0.0,292.0,1.0,10090.05,277.0,0,3
581.65,61.0,1.0,4.0,0.0,22.0,3.0,176.0,1.0,480.19,196.0,1,2
52.01,2090.0,1.0,23.0,0.0,48.0,0.0,85.0,1.0,1120.88,303.0,0,1
630.24,2262.0,1.0,4.0,0.0,21.0,3.0,62.0,1.0,370.81,328.0,1,2
523.74,2060.0,1.0,28.0,0.0,43.0,0.0,159.0,1.0,13498.55,29.0,0,2
705.6,346.0,1.0,31.0,1.0,40.0,0.0,124.0,1.0,14804.7,161.0,1,2
217.5,2000.0,1.0,10.0,1.0,46.0,1.0,35.0,1.0,3057.4,35.0,0,0
91.48,148.0,1.0,13.0,0.0,51.0,0.0,141.0,1.0,14942.78,174.0,0,3
5.25,2132.0,1.0,38.0,0.0,39.0,0.0,49.0,1.0,14143.32,358.0,1,1
54.03,1747.0,1.0,25.0,0.0,56.0,2.0,161.0,1.0,6736.3,73.0,0,1
211.36,2220.0,1.0,22.0,1.0,48.0,1.0,10.0,1.0,3313.07,270.0,0,3
368.91,489.0,1.0,41.0,1.0,54.0,0.0,14.0,1.0,829.71,245.0,0,2
33.06,111.0,1.0,13.0,2.0,53.0,2.0,170.0,1.0,1540.87,20.0,0,1
66.5,809.0,1.0,21.0,2.0,32.0,1.0,144.0,1.0,6820.23,103.0,1,1
177.08,42.0,1.0,19.0,3.0,35.0,0.0,85.0,1.0,13475.14,357.0,1,3
588.54,241.0,1.0,32.0,1.0,32.0,1.0,130.0,1.0,714.45,253.0,1,2
173.5,1991.0,1.0,26.0,0.0,21.0,3.0,282.0,1.0,1306.91,328.0,1,3
78.33,1378.0,1.0,22.0,2.0,56.0,1.0,189.0,1.0,7255.33,115.0,0,1
40.66,2473.0,1.0,21.0,1.0,59.0,2.0,156.0,1.0,1153.84,304.0,0,1
97.22,344.0,1.0,1.0,1.0,77.0,2.0,55.0,1.0,6647.73,293.0,2,3
34.07,2082.0,1.0,30.0,1.0,22.0,3.0,81.0,1.0,8709.77,58.0,1,1
492.06,1965.0,1.0,14.0,2.0,23.0,3.0,74.0,1.0,857.9,213.0,1,2
211.36,1696.0,1.0,41.0,2.0,53.0,0.0,185.0,1.0,509.45,130.0,0,3
73.55,50.0,1.0,1.0,0.0,51.0,1.0,158.0,1.0,2812.06,297.0,0,1
211.36,1642.0,1.0,31.0,2.0,57.0,1.0,118.0,1.0,6179.91,192.0,0,3
273.08,180.0,1.0,15.0,1.0,45.0,1.0,134.0,1.0,6609.3,94.0,0,0
371.69,2414.0,1.0,37.0,1.0,67.0,2.0,143.0,1.0,3484.32,216.0,2,2
218.96,1605.0,1.0,39.0,0.0,18.0,3.0,13.0,1.0,754.21,252.0,3,0
227.39,2429.0,1.0,1.0,2.0,18.0,3.0,65.0,1.0,751.09,312.0,3,0
237.99,831.0,1.0,18.0,1.0,39.0,0.0,86.0,1.0,8510.09,312.0,1,0
186.6,1219.0,1.0,43.0,2.0,58.0,0.0,13.0,1.0,1508.72,1.0,0,3
341.15,288.0,1.0,38.0,2.0,18.0,3.0,148.0,1.0,511.37,226.0,3,2
434.58,1656.0,1.0,22.0,0.0,59.0,0.0,215.0,1.0,12648.32,112.0,0,2
312.88,963.0,1.0,32.0,1.0,54.0,1.0,44.0,1.0,233.21,60.0,0,0
75.15,1738.0,1.0,4.0,0.0,23.0,3.0,154.0,1.0,1092.92,276.0,1,1
23.3,1500.0,1.0,20.0,0.0,59.0,1.0,161.0,1.0,6711.15,103.0,0,1
47.38,253.0,1.0,39.0,2.0,25.0,3.0,61.0,1.0,459.37,42.0,1,1
512.81,1309.0,1.0,34.0,1.0,79.0,2.0,30.0,1.0,6994.34,334.0,2,2
488.15,1376.0,1.0,21.0,1.0,43.0,1.0,168.0,1.0,7071.09,289.0,0,2
12.82,647.0,1.0,13.0,0.0,44.0,1.0,156.0,1.0,9045.19,122.0,0,1
66.9,709.0,1.0,5.0,2.0,79.0,2.0,129.0,1.0,5238.71,255.0,2,1
535.91,1237.0,1.0,19.0,2.0,43.0,1.0,22.0,1.0,9642.12,265.0,0,2
270.72,1213.0,1.0,42.0,2.0,26.0,1.0,53.0,1.0,6263.96,281.0,1,0
97.98,223.0,1.0,10.0,1.0,72.0,2.0,18.0,1.0,7460.33,140.0,2,3
196.08,1567.0,1.0,37.0,2.0,61.0,2.0,98.0,1.0,4233.82,8.0,2,3
251.18,995.0,1.0,38.0,0.0,42.0,1.0,246.0,1.0,8303.9,92.0,0,0
44.52,598.0,1.0,12.0,2.0,28.0,3.0,205.0,1.0,314.28,245.0,1,1
178.87,941.0,1.0,3.0,2.0,35.0,0.0,180.0,1.0,5241.23,233.0,1,3
211.36,2398.0,1.0,18.0,0.0,54.0,1.0,174.0,1.0,323.69,320.0,0,3
386.68,2045.0,1.0,27.0,1.0,46.0,0.0,128.0,1.0,6863.06,5.0,0,2
167.14,754.0,1.0,10.0,2.0,76.0,2.0,20.0,1.0,3877.73,3.0,2,3
345.22,1648.0,1.0,14.0,1.0,69.0,2.0,253.0,1.0,4046.58,73.0,2,2
74.85,2435.0,1.0,33.0,0.0,72.0,2.0,117.0,1.0,2409.73,325.0,2,1
